Name,Score,Event 1 Result,Event 1 Rank,Event 1 Score,Event 1 Std Dev,Event 1 Mean,Event 1 Standout,Event 1 Est Result,Event 1 Est Std Dev,Event 1 Est Mean,Event 1 Est Standout,Event 2 Result,Event 2 Rank,Event 2 Score,Event 2 Std Dev,Event 2 Mean,Event 2 Standout,Event 2 Est Result,Event 2 Est Std Dev,Event 2 Est Mean,Event 2 Est Standout,Event 3 Result,Event 3 Rank,Event 3 Score,Event 3 Std Dev,Event 3 Mean,Event 3 Standout,Event 3 Est Result,Event 3 Est Std Dev,Event 3 Est Mean,Event 3 Est Standout,Event 4 Result,Event 4 Rank,Event 4 Score,Event 4 Std Dev,Event 4 Mean,Event 4 Standout,Event 4 Est Result,Event 4 Est Std Dev,Event 4 Est Mean,Event 4 Est Standout,Event 5 Result,Event 5 Rank,Event 5 Score,Event 5 Std Dev,Event 5 Mean,Event 5 Standout,Event 5 Est Result,Event 5 Est Std Dev,Event 5 Est Mean,Event 5 Est Standout,Event 6 Result,Event 6 Rank,Event 6 Score,Event 6 Std Dev,Event 6 Mean,Event 6 Standout,Event 6 Est Result,Event 6 Est Std Dev,Event 6 Est Mean,Event 6 Est Standout,Event 7 Result,Event 7 Rank,Event 7 Score,Event 7 Std Dev,Event 7 Mean,Event 7 Standout,Event 7 Est Result,Event 7 Est Std Dev,Event 7 Est Mean,Event 7 Est Standout
Nathan Bramblett,358,2:42.0,50,50,21.53,3:04.54,1.05,2:42,21.53,3:04.54,1.05,9:29.3,106,106,1:38.95,10:20.94,0.52,9:29.3,1:58.79,10:34.97,0.55,C+50,45,45,34.94,25:36.09,,28:30,2:17.38,30:44.56,0.98,1:42.8,14,14,24,2:19.73,1.54,1:42.8,34.24,2:37.26,1.59,261,49,49,18.35,241.5,1.06,261.0,18.35,241.5,1.06,11:51.1,17,17,1:16.23,13:53.46,1.61,11:51.1,1:35.89,14:45.35,1.82,1:27.9,77,77,39.85,1:56.3,0.71,1:27.9,44.34,1:57.86,0.68
Daniel Tyminski,360,2:46.5,71,71,21.53,3:04.54,0.84,2:46.5,21.53,3:04.54,0.84,9:23.0,94,94,1:38.95,10:20.94,0.59,9:23,1:58.79,10:34.97,0.61,C+14,14,14,34.94,25:36.09,,26:42,2:17.38,30:44.56,1.77,2:14.2,97,97,24,2:19.73,0.23,2:14.2,34.24,2:37.26,0.67,262,38,38,18.35,241.5,1.12,262.0,18.35,241.5,1.12,11:37.3,9,9,1:16.23,13:53.46,1.79,11:37.3,1:35.89,14:45.35,1.96,1:23.2,37,37,39.85,1:56.3,0.83,1:23.2,44.34,1:57.86,0.78
Alex Anderson,373,2:35.1,18,18,21.53,3:04.54,1.37,2:35.1,21.53,3:04.54,1.37,8:01.0,15,15,1:38.95,10:20.94,1.41,8:01,1:58.79,10:34.97,1.3,C+69,85,85,34.94,25:36.09,,29:27,2:17.38,30:44.56,0.56,2:13.5,94,94,24,2:19.73,0.26,2:13.5,34.24,2:37.26,0.69,256,66,66,18.35,241.5,0.79,256.0,18.35,241.5,0.79,13:17.4,70,70,1:16.23,13:53.46,0.47,13:17.4,1:35.89,14:45.35,0.92,1:22.2,25,25,39.85,1:56.3,0.86,1:22.2,44.34,1:57.86,0.8
Joe Scali,374,2:40.3,41,41,21.53,3:04.54,1.13,2:40.3,21.53,3:04.54,1.13,8:47.9,51,51,1:38.95,10:20.94,0.94,8:47.9,1:58.79,10:34.97,0.9,C+31,22,22,34.94,25:36.09,,27:33,2:17.38,30:44.56,1.39,1:57.5,41,41,24,2:19.73,0.93,1:57.5,34.24,2:37.26,1.16,250,93,93,18.35,241.5,0.46,250.0,18.35,241.5,0.46,12:55.0,50,50,1:16.23,13:53.46,0.77,12:55,1:35.89,14:45.35,1.15,1:27.7,76,76,39.85,1:56.3,0.72,1:27.7,44.34,1:57.86,0.68
Neal Maddox,381,2:37.9,27,27,21.53,3:04.54,1.24,2:37.9,21.53,3:04.54,1.24,8:43.8,49,49,1:38.95,10:20.94,0.98,8:43.799,1:58.79,10:34.97,0.94,C+73,102,102,34.94,25:36.09,,29:39,2:17.38,30:44.56,0.48,2:15.7,101,101,24,2:19.73,0.17,2:15.7,34.24,2:37.26,0.63,282,4,4,18.35,241.5,2.21,282.0,18.35,241.5,2.21,13:09.8,61,61,1:16.23,13:53.46,0.57,13:09.8,1:35.89,14:45.35,1.0,1:23.2,37,37,39.85,1:56.3,0.83,1:23.2,44.34,1:57.86,0.78
Cole Sager,393,2:51.5,97,97,21.53,3:04.54,0.61,2:51.5,21.53,3:04.54,0.61,7:10.6,1,1,1:38.95,10:20.94,1.92,7:10.6,1:58.79,10:34.97,1.72,C+53,48,48,34.94,25:36.09,,28:39,2:17.38,30:44.56,0.91,2:09.1,78,78,24,2:19.73,0.44,2:09.1,34.24,2:37.26,0.82,255,72,72,18.35,241.5,0.74,255.0,18.35,241.5,0.74,13:39.7,90,90,1:16.23,13:53.46,0.18,13:39.7,1:35.89,14:45.35,0.68,1:19.2,7,7,39.85,1:56.3,0.93,1:19.2,44.34,1:57.86,0.87
Spencer Hendel,397,2:54.6,120,120,21.53,3:04.54,0.46,2:54.6,21.53,3:04.54,0.46,7:28.9,4,4,1:38.95,10:20.94,1.74,7:28.9,1:58.79,10:34.97,1.57,C+60,60,60,34.94,25:36.09,,29:00,2:17.38,30:44.56,0.76,2:01.1,51,51,24,2:19.73,0.78,2:01.1,34.24,2:37.26,1.06,265,31,31,18.35,241.5,1.28,265.0,18.35,241.5,1.28,13:34.7,87,87,1:16.23,13:53.46,0.25,13:34.7,1:35.89,14:45.35,0.74,1:24.3,44,44,39.85,1:56.3,0.8,1:24.3,44.34,1:57.86,0.76
Craig Kenney,397,2:34.4,14,14,21.53,3:04.54,1.4,2:34.4,21.53,3:04.54,1.4,9:31.8,111,111,1:38.95,10:20.94,0.5,9:31.8,1:58.79,10:34.97,0.53,C+49,44,44,34.94,25:36.09,,28:27,2:17.38,30:44.56,1.0,2:17.2,104,104,24,2:19.73,0.11,2:17.2,34.24,2:37.26,0.59,270,21,21,18.35,241.5,1.55,270.0,18.35,241.5,1.55,12:53.5,48,48,1:16.23,13:53.46,0.79,12:53.5,1:35.89,14:45.35,1.17,1:25.3,55,55,39.85,1:56.3,0.78,1:25.3,44.34,1:57.86,0.73
Roy Gamboa,422,2:35.9,22,22,21.53,3:04.54,1.33,2:35.9,21.53,3:04.54,1.33,8:21.5,35,35,1:38.95,10:20.94,1.21,8:21.5,1:58.79,10:34.97,1.12,C+70,90,90,34.94,25:36.09,,29:30,2:17.38,30:44.56,0.54,2:17.9,108,108,24,2:19.73,0.08,2:17.9,34.24,2:37.26,0.57,270,21,21,18.35,241.5,1.55,270.0,18.35,241.5,1.55,13:29.9,83,83,1:16.23,13:53.46,0.31,13:29.9,1:35.89,14:45.35,0.79,1:25.9,63,63,39.85,1:56.3,0.76,1:25.9,44.34,1:57.86,0.72
Austin Malleolo,425,2:58.9,145,145,21.53,3:04.54,0.26,2:58.9,21.53,3:04.54,0.26,8:12.7,24,24,1:38.95,10:20.94,1.3,8:12.7,1:58.79,10:34.97,1.2,C+29,20,20,34.94,25:36.09,,27:27,2:17.38,30:44.56,1.44,1:34.9,6,6,24,2:19.73,1.87,1:34.9,34.24,2:37.26,1.82,246,114,114,18.35,241.5,0.25,246.0,18.35,241.5,0.25,13:15.6,68,68,1:16.23,13:53.46,0.5,13:15.6,1:35.89,14:45.35,0.94,1:24.7,48,48,39.85,1:56.3,0.79,1:24.7,44.34,1:57.86,0.75
Jacob Heppner,440,2:32.5,11,11,21.53,3:04.54,1.49,2:32.5,21.53,3:04.54,1.49,7:52.8,11,11,1:38.95,10:20.94,1.5,7:52.8,1:58.79,10:34.97,1.37,25:53.5,7,7,34.94,25:36.09,-0.5,25:53.5,2:17.38,30:44.56,2.12,1:38.3,9,9,24,2:19.73,1.73,1:38.3,34.24,2:37.26,1.72,247,103,103,18.35,241.5,0.3,247.0,18.35,241.5,0.3,11:28.3,7,7,1:16.23,13:53.46,1.9,11:28.3,1:35.89,14:45.35,2.05,3:07.1,292,292,39.85,1:56.3,-1.78,3:07.1,44.34,1:57.86,-1.56
Cody Anderson,440,3:00.2,161,161,21.53,3:04.54,0.2,3:00.2,21.53,3:04.54,0.2,8:16.4,30,30,1:38.95,10:20.94,1.26,8:16.4,1:58.79,10:34.97,1.17,C+35,30,30,34.94,25:36.09,,27:45,2:17.38,30:44.56,1.31,1:53.8,30,30,24,2:19.73,1.08,1:53.8,34.24,2:37.26,1.27,241,145,145,18.35,241.5,-0.03,241.0,18.35,241.5,-0.03,11:19.5,4,4,1:16.23,13:53.46,2.02,11:19.5,1:35.89,14:45.35,2.15,1:23.6,40,40,39.85,1:56.3,0.82,1:23.6,44.34,1:57.86,0.77
Kevin Simons,444,2:41.6,48,48,21.53,3:04.54,1.07,2:41.6,21.53,3:04.54,1.07,10:11.3,159,159,1:38.95,10:20.94,0.1,10:11.3,1:58.79,10:34.97,0.2,C+90,148,148,34.94,25:36.09,,30:30,2:17.38,30:44.56,0.11,1:35.5,7,7,24,2:19.73,1.84,1:35.5,34.24,2:37.26,1.8,272,17,17,18.35,241.5,1.66,272.0,18.35,241.5,1.66,12:19.4,31,31,1:16.23,13:53.46,1.23,12:19.4,1:35.89,14:45.35,1.52,1:22.8,34,34,39.85,1:56.3,0.84,1:22.8,44.34,1:57.86,0.79
Gerald Sasser,455,2:45.7,68,68,21.53,3:04.54,0.87,2:45.7,21.53,3:04.54,0.87,10:08.2,156,156,1:38.95,10:20.94,0.13,10:08.2,1:58.79,10:34.97,0.23,C+57,54,54,34.94,25:36.09,,28:51,2:17.38,30:44.56,0.83,2:23.7,122,122,24,2:19.73,-0.17,2:23.7,34.24,2:37.26,0.4,271,18,18,18.35,241.5,1.61,271.0,18.35,241.5,1.61,12:19.3,30,30,1:16.23,13:53.46,1.24,12:19.3,1:35.89,14:45.35,1.52,1:19.2,7,7,39.85,1:56.3,0.93,1:19.2,44.34,1:57.86,0.87
Elijah Muhammad,456,2:41.5,46,46,21.53,3:04.54,1.07,2:41.5,21.53,3:04.54,1.07,8:13.8,25,25,1:38.95,10:20.94,1.28,8:13.8,1:58.79,10:34.97,1.19,C+55,51,51,34.94,25:36.09,,28:45,2:17.38,30:44.56,0.87,2:13.3,91,91,24,2:19.73,0.27,2:13.3,34.24,2:37.26,0.7,275,8,8,18.35,241.5,1.83,275.0,18.35,241.5,1.83,C+3,231,231,1:16.23,13:53.46,,16:03,1:35.89,14:45.35,-0.81,1:18.3,4,4,39.85,1:56.3,0.95,1:18.3,44.34,1:57.86,0.89
Tyson Takasaki,456,2:43.0,57,57,21.53,3:04.54,1.0,2:43,21.53,3:04.54,1.0,8:15.8,28,28,1:38.95,10:20.94,1.26,8:15.8,1:58.79,10:34.97,1.17,C+27,19,19,34.94,25:36.09,,27:21,2:17.38,30:44.56,1.48,2:04.0,60,60,24,2:19.73,0.66,2:04,34.24,2:37.26,0.97,273,16,16,18.35,241.5,1.72,273.0,18.35,241.5,1.72,13:54.0,99,99,1:16.23,13:53.46,-0.01,13:54,1:35.89,14:45.35,0.54,1:46.7,177,177,39.85,1:56.3,0.24,1:46.7,44.34,1:57.86,0.25
Zach Carlin,475,3:04.7,179,179,21.53,3:04.54,-0.01,3:04.7,21.53,3:04.54,-0.01,8:18.5,33,33,1:38.95,10:20.94,1.24,8:18.5,1:58.79,10:34.97,1.15,C+65,77,77,34.94,25:36.09,,29:15,2:17.38,30:44.56,0.65,2:21.6,115,115,24,2:19.73,-0.08,2:21.6,34.24,2:37.26,0.46,285,3,3,18.35,241.5,2.37,285.0,18.35,241.5,2.37,12:56.4,51,51,1:16.23,13:53.46,0.75,12:56.4,1:35.89,14:45.35,1.14,1:21.1,17,17,39.85,1:56.3,0.88,1:21.1,44.34,1:57.86,0.83
Graham Holmberg,501,2:34.4,14,14,21.53,3:04.54,1.4,2:34.4,21.53,3:04.54,1.4,7:52.6,10,10,1:38.95,10:20.94,1.5,7:52.6,1:58.79,10:34.97,1.37,C+105,203,203,34.94,25:36.09,,31:25,2:17.38,30:44.56,-0.29,2:32.8,140,140,24,2:19.73,-0.54,2:32.8,34.24,2:37.26,0.13,265,31,31,18.35,241.5,1.28,265.0,18.35,241.5,1.28,11:55.4,21,21,1:16.23,13:53.46,1.55,11:55.4,1:35.89,14:45.35,1.77,1:28.8,82,82,39.85,1:56.3,0.69,1:28.8,44.34,1:57.86,0.66
Chad Melton,510,2:39.5,38,38,21.53,3:04.54,1.16,2:39.5,21.53,3:04.54,1.16,10:38.1,189,189,1:38.95,10:20.94,-0.17,10:38.1,1:58.79,10:34.97,-0.03,C+67,79,79,34.94,25:36.09,,29:21,2:17.38,30:44.56,0.61,2:10.8,84,84,24,2:19.73,0.37,2:10.8,34.24,2:37.26,0.77,262,38,38,18.35,241.5,1.12,262.0,18.35,241.5,1.12,11:15.4,2,2,1:16.23,13:53.46,2.07,11:15.4,1:35.89,14:45.35,2.19,1:28.7,80,80,39.85,1:56.3,0.69,1:28.7,44.34,1:57.86,0.66
Nick Fory,516,2:57.3,133,133,21.53,3:04.54,0.34,2:57.3,21.53,3:04.54,0.34,8:48.4,52,52,1:38.95,10:20.94,0.94,8:48.4,1:58.79,10:34.97,0.9,C+13,13,13,34.94,25:36.09,,26:39,2:17.38,30:44.56,1.79,2:17.2,104,104,24,2:19.73,0.11,2:17.2,34.24,2:37.26,0.59,247,103,103,18.35,241.5,0.3,247.0,18.35,241.5,0.3,12:07.7,27,27,1:16.23,13:53.46,1.39,12:07.7,1:35.89,14:45.35,1.64,1:29.4,84,84,39.85,1:56.3,0.67,1:29.4,44.34,1:57.86,0.64
Khan Porter,517,2:39.3,37,37,21.53,3:04.54,1.17,2:39.3,21.53,3:04.54,1.17,9:33.1,113,113,1:38.95,10:20.94,0.48,9:33.1,1:58.79,10:34.97,0.52,C+34,27,27,34.94,25:36.09,,27:42,2:17.38,30:44.56,1.33,2:44.0,170,170,24,2:19.73,-1.01,2:44,34.24,2:37.26,-0.2,258,60,60,18.35,241.5,0.9,258.0,18.35,241.5,0.9,13:04.8,55,55,1:16.23,13:53.46,0.64,13:04.8,1:35.89,14:45.35,1.05,1:25.3,55,55,39.85,1:56.3,0.78,1:25.3,44.34,1:57.86,0.73
Brent Fikowski,520,2:38.9,34,34,21.53,3:04.54,1.19,2:38.9,21.53,3:04.54,1.19,7:51.7,9,9,1:38.95,10:20.94,1.51,7:51.7,1:58.79,10:34.97,1.37,25:53.0,6,6,34.94,25:36.09,-0.48,25:53,2:17.38,30:44.56,2.12,2:09.6,81,81,24,2:19.73,0.42,2:09.6,34.24,2:37.26,0.81,262,38,38,18.35,241.5,1.12,262.0,18.35,241.5,1.12,15:19.9,179,179,1:16.23,13:53.46,-1.13,15:19.9,1:35.89,14:45.35,-0.36,1:44.9,173,173,39.85,1:56.3,0.29,1:44.9,44.34,1:57.86,0.29
Nick Urankar,524,2:50.3,88,88,21.53,3:04.54,0.66,2:50.3,21.53,3:04.54,0.66,8:49.2,54,54,1:38.95,10:20.94,0.93,8:49.2,1:58.79,10:34.97,0.89,C+114,242,242,34.94,25:36.09,,32:10,2:17.38,30:44.56,-0.62,2:16.7,102,102,24,2:19.73,0.13,2:16.7,34.24,2:37.26,0.6,290,1,1,18.35,241.5,2.64,290.0,18.35,241.5,2.64,12:28.3,34,34,1:16.23,13:53.46,1.12,12:28.3,1:35.89,14:45.35,1.43,1:18.2,3,3,39.85,1:56.3,0.96,1:18.2,44.34,1:57.86,0.89
Joe Kearney,533,2:40.0,39,39,21.53,3:04.54,1.14,2:40,21.53,3:04.54,1.14,9:59.6,145,145,1:38.95,10:20.94,0.22,9:59.6,1:58.79,10:34.97,0.3,C+89,147,147,34.94,25:36.09,,30:27,2:17.38,30:44.56,0.13,2:08.8,74,74,24,2:19.73,0.46,2:08.8,34.24,2:37.26,0.83,266,28,28,18.35,241.5,1.34,266.0,18.35,241.5,1.34,13:04.0,54,54,1:16.23,13:53.46,0.65,13:04,1:35.89,14:45.35,1.06,1:24.4,46,46,39.85,1:56.3,0.8,1:24.4,44.34,1:57.86,0.75
Will Moorad,540,2:44.1,63,63,21.53,3:04.54,0.95,2:44.1,21.53,3:04.54,0.95,9:07.8,77,77,1:38.95,10:20.94,0.74,9:07.8,1:58.79,10:34.97,0.73,C+91,153,153,34.94,25:36.09,,30:33,2:17.38,30:44.56,0.08,2:12.0,87,87,24,2:19.73,0.32,2:12,34.24,2:37.26,0.74,250,93,93,18.35,241.5,0.46,250.0,18.35,241.5,0.46,11:45.6,12,12,1:16.23,13:53.46,1.68,11:45.6,1:35.89,14:45.35,1.87,1:25.3,55,55,39.85,1:56.3,0.78,1:25.3,44.34,1:57.86,0.73
Adrian Conway,541,2:37.0,23,23,21.53,3:04.54,1.28,2:37,21.53,3:04.54,1.28,8:38.6,46,46,1:38.95,10:20.94,1.03,8:38.6,1:58.79,10:34.97,0.98,C+42,37,37,34.94,25:36.09,,28:06,2:17.38,30:44.56,1.15,2:35.8,151,151,24,2:19.73,-0.67,2:35.8,34.24,2:37.26,0.04,247,103,103,18.35,241.5,0.3,247.0,18.35,241.5,0.3,13:03.9,53,53,1:16.23,13:53.46,0.65,13:03.9,1:35.89,14:45.35,1.06,1:36.3,128,128,39.85,1:56.3,0.5,1:36.3,44.34,1:57.86,0.49
Cody Keathley,541,3:05.3,184,184,21.53,3:04.54,-0.04,3:05.3,21.53,3:04.54,-0.04,9:00.9,68,68,1:38.95,10:20.94,0.81,9:00.9,1:58.79,10:34.97,0.79,C+61,65,65,34.94,25:36.09,,29:03,2:17.38,30:44.56,0.74,2:08.0,71,71,24,2:19.73,0.49,2:08,34.24,2:37.26,0.85,247,103,103,18.35,241.5,0.3,247.0,18.35,241.5,0.3,11:52.0,19,19,1:16.23,13:53.46,1.59,11:52,1:35.89,14:45.35,1.81,1:22.6,31,31,39.85,1:56.3,0.85,1:22.6,44.34,1:57.86,0.8
Tim Paulson,542,2:41.5,46,46,21.53,3:04.54,1.07,2:41.5,21.53,3:04.54,1.07,10:25.0,174,174,1:38.95,10:20.94,-0.04,10:25,1:58.79,10:34.97,0.08,C+51,46,46,34.94,25:36.09,,28:33,2:17.38,30:44.56,0.96,1:49.2,26,26,24,2:19.73,1.27,1:49.2,34.24,2:37.26,1.4,250,93,93,18.35,241.5,0.46,250.0,18.35,241.5,0.46,13:48.2,95,95,1:16.23,13:53.46,0.07,13:48.2,1:35.89,14:45.35,0.6,1:25.8,62,62,39.85,1:56.3,0.77,1:25.8,44.34,1:57.86,0.72
Travis Williams,544,2:35.5,21,21,21.53,3:04.54,1.35,2:35.5,21.53,3:04.54,1.35,9:19.9,88,88,1:38.95,10:20.94,0.62,9:19.9,1:58.79,10:34.97,0.63,C+59,55,55,34.94,25:36.09,,28:57,2:17.38,30:44.56,0.78,2:19.7,113,113,24,2:19.73,0.0,2:19.7,34.24,2:37.26,0.51,260,53,53,18.35,241.5,1.01,260.0,18.35,241.5,1.01,15:33.8,189,189,1:16.23,13:53.46,-1.32,15:33.8,1:35.89,14:45.35,-0.51,1:22.2,25,25,39.85,1:56.3,0.86,1:22.2,44.34,1:57.86,0.8
Julian Alcaraz,547,2:49.0,82,82,21.53,3:04.54,0.72,2:49,21.53,3:04.54,0.72,8:58.7,66,66,1:38.95,10:20.94,0.83,8:58.7,1:58.79,10:34.97,0.81,C+69,85,85,34.94,25:36.09,,29:27,2:17.38,30:44.56,0.56,1:57.2,39,39,24,2:19.73,0.94,1:57.2,34.24,2:37.26,1.17,235,195,195,18.35,241.5,-0.35,235.0,18.35,241.5,-0.35,13:16.0,69,69,1:16.23,13:53.46,0.49,13:16,1:35.89,14:45.35,0.93,1:20.0,11,11,39.85,1:56.3,0.91,1:20,44.34,1:57.86,0.85
