Name,Score,Event 1 Result,Event 1 Rank,Event 1 Score,Event 1 Std Dev,Event 1 Mean,Event 1 Standout,Event 1 Est Result,Event 1 Est Std Dev,Event 1 Est Mean,Event 1 Est Standout,Event 2 Result,Event 2 Rank,Event 2 Score,Event 2 Std Dev,Event 2 Mean,Event 2 Standout,Event 2 Est Result,Event 2 Est Std Dev,Event 2 Est Mean,Event 2 Est Standout,Event 3 Result,Event 3 Rank,Event 3 Score,Event 3 Std Dev,Event 3 Mean,Event 3 Standout,Event 3 Est Result,Event 3 Est Std Dev,Event 3 Est Mean,Event 3 Est Standout,Event 4 Result,Event 4 Rank,Event 4 Score,Event 4 Std Dev,Event 4 Mean,Event 4 Standout,Event 4 Est Result,Event 4 Est Std Dev,Event 4 Est Mean,Event 4 Est Standout,Event 5 Result,Event 5 Rank,Event 5 Score,Event 5 Std Dev,Event 5 Mean,Event 5 Standout,Event 5 Est Result,Event 5 Est Std Dev,Event 5 Est Mean,Event 5 Est Standout,Event 6 Result,Event 6 Rank,Event 6 Score,Event 6 Std Dev,Event 6 Mean,Event 6 Standout,Event 6 Est Result,Event 6 Est Std Dev,Event 6 Est Mean,Event 6 Est Standout,Event 7 Result,Event 7 Rank,Event 7 Score,Event 7 Std Dev,Event 7 Mean,Event 7 Standout,Event 7 Est Result,Event 7 Est Std Dev,Event 7 Est Mean,Event 7 Est Standout
Katrin Tanja Davidsdottir,267,2:53.8,50,50,31.21,3:22.71,0.93,2:53.8,31.21,3:22.71,0.93,11:40.8,88,88,1:50.4,12:33.01,0.47,11:40.8,2:04.57,12:58.75,0.63,C+19,13,13,36.49,25:05.84,,26:57,2:28.76,31:44.03,1.93,1:19.8,1,1,25.83,2:18.15,2.26,1:19.8,37.92,2:55.74,2.53,183,11,11,16.06,155.2,1.73,183.0,16.06,155.2,1.73,13:53.5,8,8,46.45,14:52.56,1.27,13:53.5,1:11.71,16:43.43,2.37,2:54.2,96,96,1:06.6,3:21.34,0.41,2:54.2,1:28.13,3:52.03,0.66
Emily Bridgers,285,3:16.9,142,142,31.21,3:22.71,0.19,3:16.9,31.21,3:22.71,0.19,11:08.5,63,63,1:50.4,12:33.01,0.77,11:08.5,2:04.57,12:58.75,0.89,24:53.5,4,4,36.49,25:05.84,0.34,24:53.5,2:28.76,31:44.03,2.76,1:47.9,15,15,25.83,2:18.15,1.17,1:47.9,37.92,2:55.74,1.79,172,41,41,16.06,155.2,1.05,172.0,16.06,155.2,1.05,14:01.4,10,10,46.45,14:52.56,1.1,14:01.4,1:11.71,16:43.43,2.26,1:33.9,10,10,1:06.6,3:21.34,1.61,1:33.9,1:28.13,3:52.03,1.57
Brooke Ence,287,2:42.8,18,18,31.21,3:22.71,1.28,2:42.8,31.21,3:22.71,1.28,9:57.9,27,27,1:50.4,12:33.01,1.4,9:57.9,2:04.57,12:58.75,1.45,C+80,69,69,36.49,25:05.84,,30:00,2:28.76,31:44.03,0.7,2:52.9,99,99,25.83,2:18.15,-1.35,2:52.9,37.92,2:55.74,0.07,177,18,18,16.06,155.2,1.36,177.0,16.06,155.2,1.36,C+2,52,52,46.45,14:52.56,,16:02,1:11.71,16:43.43,0.58,1:29.0,4,4,1:06.6,3:21.34,1.69,1:29,1:28.13,3:52.03,1.62
Jenn Jones,305,2:44.8,23,23,31.21,3:22.71,1.21,2:44.8,31.21,3:22.71,1.21,11:20.9,73,73,1:50.4,12:33.01,0.65,11:20.9,2:04.57,12:58.75,0.79,C+77,62,62,36.49,25:05.84,,29:51,2:28.76,31:44.03,0.76,2:01.8,33,33,25.83,2:18.15,0.63,2:01.8,37.92,2:55.74,1.42,190,5,5,16.06,155.2,2.17,190.0,16.06,155.2,2.17,15:48.0,43,43,46.45,14:52.56,-1.19,15:48,1:11.71,16:43.43,0.77,2:32.0,66,66,1:06.6,3:21.34,0.74,2:32,1:28.13,3:52.03,0.91
Tia-Clair Toomey,310,2:59.4,72,72,31.21,3:22.71,0.75,2:59.4,31.21,3:22.71,0.75,9:23.2,12,12,1:50.4,12:33.01,1.72,9:23.2,2:04.57,12:58.75,1.73,C+67,53,53,36.49,25:05.84,,29:21,2:28.76,31:44.03,0.96,2:59.0,109,109,25.83,2:18.15,-1.58,2:59,37.92,2:55.74,-0.09,176,20,20,16.06,155.2,1.3,176.0,16.06,155.2,1.3,15:05.9,26,26,46.45,14:52.56,-0.29,15:05.9,1:11.71,16:43.43,1.36,1:51.4,18,18,1:06.6,3:21.34,1.35,1:51.4,1:28.13,3:52.03,1.37
Samantha Briggs,341,2:28.8,3,3,31.21,3:22.71,1.73,2:28.8,31.21,3:22.71,1.73,9:36.4,17,17,1:50.4,12:33.01,1.6,9:36.4,2:04.57,12:58.75,1.62,C+40,20,20,36.49,25:05.84,,28:00,2:28.76,31:44.03,1.51,C+1,115,115,25.83,2:18.15,,3:01,37.92,2:55.74,-0.14,160,110,110,16.06,155.2,0.3,160.0,16.06,155.2,0.3,15:22.5,31,31,46.45,14:52.56,-0.64,15:22.5,1:11.71,16:43.43,1.13,2:13.8,45,45,1:06.6,3:21.34,1.01,2:13.8,1:28.13,3:52.03,1.11
Alethea Boon,358,2:45.7,27,27,31.21,3:22.71,1.19,2:45.7,31.21,3:22.71,1.19,10:11.1,32,32,1:50.4,12:33.01,1.29,10:11.1,2:04.57,12:58.75,1.35,C+63,48,48,36.49,25:05.84,,29:09,2:28.76,31:44.03,1.04,1:45.8,14,14,25.83,2:18.15,1.25,1:45.8,37.92,2:55.74,1.84,147,191,191,16.06,155.2,-0.51,147.0,16.06,155.2,-0.51,14:47.9,18,18,46.45,14:52.56,0.1,14:47.9,1:11.71,16:43.43,1.61,2:01.6,28,28,1:06.6,3:21.34,1.2,2:01.6,1:28.13,3:52.03,1.25
Nicole Holcomb,372,2:52.2,45,45,31.21,3:22.71,0.98,2:52.2,31.21,3:22.71,0.98,10:50.9,48,48,1:50.4,12:33.01,0.92,10:50.9,2:04.57,12:58.75,1.03,C+98,106,106,36.49,25:05.84,,30:54,2:28.76,31:44.03,0.34,1:55.3,24,24,25.83,2:18.15,0.88,1:55.3,37.92,2:55.74,1.59,181,14,14,16.06,155.2,1.61,181.0,16.06,155.2,1.61,14:06.3,11,11,46.45,14:52.56,1.0,14:06.3,1:11.71,16:43.43,2.19,3:20.2,124,124,1:06.6,3:21.34,0.02,3:20.2,1:28.13,3:52.03,0.36
Kari Pearce,401,2:54.0,51,51,31.21,3:22.71,0.92,2:54,31.21,3:22.71,0.92,11:15.7,68,68,1:50.4,12:33.01,0.7,11:15.7,2:04.57,12:58.75,0.83,C+79,68,68,36.49,25:05.84,,29:57,2:28.76,31:44.03,0.72,1:32.1,5,5,25.83,2:18.15,1.78,1:32.1,37.92,2:55.74,2.21,155,141,141,16.06,155.2,-0.01,155.0,16.06,155.2,-0.01,13:19.0,2,2,46.45,14:52.56,2.01,13:19,1:11.71,16:43.43,2.85,2:32.0,66,66,1:06.6,3:21.34,0.74,2:32,1:28.13,3:52.03,0.91
Anna Tunnicliffe,414,2:52.3,47,47,31.21,3:22.71,0.97,2:52.3,31.21,3:22.71,0.97,8:24.9,3,3,1:50.4,12:33.01,2.25,8:24.9,2:04.57,12:58.75,2.2,24:58.8,5,5,36.49,25:05.84,0.19,24:58.8,2:28.76,31:44.03,2.72,2:23.9,63,63,25.83,2:18.15,-0.22,2:23.9,37.92,2:55.74,0.84,165,74,74,16.06,155.2,0.61,165.0,16.06,155.2,0.61,C+1,48,48,46.45,14:52.56,,16:01,1:11.71,16:43.43,0.59,3:56.1,174,174,1:06.6,3:21.34,-0.52,3:56.1,1:28.13,3:52.03,-0.05
Kelley Jackson,439,3:08.3,112,112,31.21,3:22.71,0.46,3:08.3,31.21,3:22.71,0.46,10:38.9,42,42,1:50.4,12:33.01,1.03,10:38.9,2:04.57,12:58.75,1.12,C+24,17,17,36.49,25:05.84,,27:12,2:28.76,31:44.03,1.83,2:49.9,94,94,25.83,2:18.15,-1.23,2:49.9,37.92,2:55.74,0.15,157,124,124,16.06,155.2,0.11,157.0,16.06,155.2,0.11,14:27.1,13,13,46.45,14:52.56,0.55,14:27.1,1:11.71,16:43.43,1.9,2:07.9,37,37,1:06.6,3:21.34,1.1,2:07.9,1:28.13,3:52.03,1.18
Maddy Myers,447,2:57.9,64,64,31.21,3:22.71,0.79,2:57.9,31.21,3:22.71,0.79,11:03.8,59,59,1:50.4,12:33.01,0.81,11:03.8,2:04.57,12:58.75,0.92,C+103,119,119,36.49,25:05.84,,31:15,2:28.76,31:44.03,0.2,2:53.2,101,101,25.83,2:18.15,-1.36,2:53.2,37.92,2:55.74,0.07,170,51,51,16.06,155.2,0.92,170.0,16.06,155.2,0.92,C+0,47,47,46.45,14:52.56,,16:00,1:11.71,16:43.43,0.61,1:29.9,6,6,1:06.6,3:21.34,1.67,1:29.9,1:28.13,3:52.03,1.61
Alessandra Pichelli,449,2:37.7,13,13,31.21,3:22.71,1.44,2:37.7,31.21,3:22.71,1.44,11:27.6,79,79,1:50.4,12:33.01,0.59,11:27.6,2:04.57,12:58.75,0.73,C+85,81,81,36.49,25:05.84,,30:15,2:28.76,31:44.03,0.6,2:45.5,89,89,25.83,2:18.15,-1.06,2:45.5,37.92,2:55.74,0.27,172,41,41,16.06,155.2,1.05,172.0,16.06,155.2,1.05,C+5,65,65,46.45,14:52.56,,16:05,1:11.71,16:43.43,0.54,2:41.5,81,81,1:06.6,3:21.34,0.6,2:41.5,1:28.13,3:52.03,0.8
Chyna Cho,452,2:44.7,21,21,31.21,3:22.71,1.22,2:44.7,31.21,3:22.71,1.22,7:56.8,1,1,1:50.4,12:33.01,2.5,7:56.8,2:04.57,12:58.75,2.42,C+1,11,11,36.49,25:05.84,,26:03,2:28.76,31:44.03,2.29,C+10,216,216,25.83,2:18.15,,3:10,37.92,2:55.74,-0.38,163,90,90,16.06,155.2,0.49,163.0,16.06,155.2,0.49,C+18,99,99,46.45,14:52.56,,16:18,1:11.71,16:43.43,0.35,1:42.5,14,14,1:06.6,3:21.34,1.48,1:42.5,1:28.13,3:52.03,1.47
Lindsey Valenzuela,455,2:39.4,14,14,31.21,3:22.71,1.39,2:39.4,31.21,3:22.71,1.39,10:32.5,39,39,1:50.4,12:33.01,1.09,10:32.5,2:04.57,12:58.75,1.17,C+48,25,25,36.49,25:05.84,,28:24,2:28.76,31:44.03,1.34,C+10,216,216,25.83,2:18.15,,3:10,37.92,2:55.74,-0.38,188,6,6,16.06,155.2,2.04,188.0,16.06,155.2,2.04,C+16,94,94,46.45,14:52.56,,16:16,1:11.71,16:43.43,0.38,2:23.4,61,61,1:06.6,3:21.34,0.87,2:23.4,1:28.13,3:52.03,1.01
Emily Abbott,456,2:47.2,30,30,31.21,3:22.71,1.14,2:47.2,31.21,3:22.71,1.14,9:22.6,11,11,1:50.4,12:33.01,1.72,9:22.6,2:04.57,12:58.75,1.74,C+7,12,12,36.49,25:05.84,,26:21,2:28.76,31:44.03,2.17,C+6,167,167,25.83,2:18.15,,3:06,37.92,2:55.74,-0.27,166,69,69,16.06,155.2,0.67,166.0,16.06,155.2,0.67,C+2,52,52,46.45,14:52.56,,16:02,1:11.71,16:43.43,0.58,3:13.8,115,115,1:06.6,3:21.34,0.11,3:13.8,1:28.13,3:52.03,0.43
Stacie Tovar,457,2:40.9,15,15,31.21,3:22.71,1.34,2:40.9,31.21,3:22.71,1.34,11:44.9,93,93,1:50.4,12:33.01,0.44,11:44.9,2:04.57,12:58.75,0.59,C+75,57,57,36.49,25:05.84,,29:45,2:28.76,31:44.03,0.8,C+0,112,112,25.83,2:18.15,,3:00,37.92,2:55.74,-0.11,163,90,90,16.06,155.2,0.49,163.0,16.06,155.2,0.49,C+5,65,65,46.45,14:52.56,,16:05,1:11.71,16:43.43,0.54,1:57.4,25,25,1:06.6,3:21.34,1.26,1:57.4,1:28.13,3:52.03,1.3
Carol-Ann Reason-Thibault,459,2:45.0,24,24,31.21,3:22.71,1.21,2:45,31.21,3:22.71,1.21,12:05.6,121,121,1:50.4,12:33.01,0.25,12:05.6,2:04.57,12:58.75,0.43,C+21,15,15,36.49,25:05.84,,27:03,2:28.76,31:44.03,1.89,2:20.9,59,59,25.83,2:18.15,-0.11,2:20.9,37.92,2:55.74,0.92,145,214,214,16.06,155.2,-0.63,145.0,16.06,155.2,-0.63,13:49.6,7,7,46.45,14:52.56,1.36,13:49.6,1:11.71,16:43.43,2.42,1:53.0,19,19,1:06.6,3:21.34,1.33,1:53,1:28.13,3:52.03,1.35
Jennifer Smith,472,3:14.7,137,137,31.21,3:22.71,0.26,3:14.7,31.21,3:22.71,0.26,11:11.3,65,65,1:50.4,12:33.01,0.74,11:11.3,2:04.57,12:58.75,0.86,C+59,42,42,36.49,25:05.84,,28:57,2:28.76,31:44.03,1.12,2:57.8,108,108,25.83,2:18.15,-1.54,2:57.8,37.92,2:55.74,-0.05,170,51,51,16.06,155.2,0.92,170.0,16.06,155.2,0.92,15:13.7,30,30,46.45,14:52.56,-0.46,15:13.7,1:11.71,16:43.43,1.25,2:10.5,39,39,1:06.6,3:21.34,1.06,2:10.5,1:28.13,3:52.03,1.15
Brooke Wells,486,2:21.6,1,1,31.21,3:22.71,1.96,2:21.6,31.21,3:22.71,1.96,13:31.0,180,180,1:50.4,12:33.01,-0.53,13:31,2:04.57,12:58.75,-0.26,C+62,46,46,36.49,25:05.84,,29:06,2:28.76,31:44.03,1.06,1:48.7,16,16,25.83,2:18.15,1.14,1:48.7,37.92,2:55.74,1.77,186,8,8,16.06,155.2,1.92,186.0,16.06,155.2,1.92,14:45.1,17,17,46.45,14:52.56,0.16,14:45.1,1:11.71,16:43.43,1.65,4:45.6,218,218,1:06.6,3:21.34,-1.27,4:45.6,1:28.13,3:52.03,-0.61
Rebecca Voigt,493,2:59.6,74,74,31.21,3:22.71,0.74,2:59.6,31.21,3:22.71,0.74,11:15.0,66,66,1:50.4,12:33.01,0.71,11:15,2:04.57,12:58.75,0.83,C+75,57,57,36.49,25:05.84,,29:45,2:28.76,31:44.03,0.8,2:03.5,37,37,25.83,2:18.15,0.57,2:03.5,37.92,2:55.74,1.38,160,110,110,16.06,155.2,0.3,160.0,16.06,155.2,0.3,15:11.0,29,29,46.45,14:52.56,-0.4,15:11,1:11.71,16:43.43,1.29,3:17.5,120,120,1:06.6,3:21.34,0.06,3:17.5,1:28.13,3:52.03,0.39
Whitney Cappellucci,499,2:58.3,69,69,31.21,3:22.71,0.78,2:58.3,31.21,3:22.71,0.78,9:56.1,26,26,1:50.4,12:33.01,1.42,9:56.1,2:04.57,12:58.75,1.47,C+60,43,43,36.49,25:05.84,,29:00,2:28.76,31:44.03,1.1,C+11,230,230,25.83,2:18.15,,3:11,37.92,2:55.74,-0.4,176,20,20,16.06,155.2,1.3,176.0,16.06,155.2,1.3,C+4,62,62,46.45,14:52.56,,16:04,1:11.71,16:43.43,0.55,2:15.3,49,49,1:06.6,3:21.34,0.99,2:15.3,1:28.13,3:52.03,1.1
Denae Brown,504,3:17.3,144,144,31.21,3:22.71,0.17,3:17.3,31.21,3:22.71,0.17,8:54.6,6,6,1:50.4,12:33.01,1.98,8:54.6,2:04.57,12:58.75,1.96,24:31.9,2,2,36.49,25:05.84,0.93,24:31.9,2:28.76,31:44.03,2.9,2:18.9,55,55,25.83,2:18.15,-0.03,2:18.9,37.92,2:55.74,0.97,150,183,183,16.06,155.2,-0.32,150.0,16.06,155.2,-0.32,15:05.1,25,25,46.45,14:52.56,-0.27,15:05.1,1:11.71,16:43.43,1.37,2:47.0,89,89,1:06.6,3:21.34,0.52,2:47,1:28.13,3:52.03,0.74
Carleen Mathews,507,2:59.9,77,77,31.21,3:22.71,0.73,2:59.9,31.21,3:22.71,0.73,10:47.9,47,47,1:50.4,12:33.01,0.95,10:47.9,2:04.57,12:58.75,1.05,C+29,18,18,36.49,25:05.84,,27:27,2:28.76,31:44.03,1.73,2:37.5,81,81,25.83,2:18.15,-0.75,2:37.5,37.92,2:55.74,0.48,153,173,173,16.06,155.2,-0.14,153.0,16.06,155.2,-0.14,C+2,52,52,46.45,14:52.56,,16:02,1:11.71,16:43.43,0.58,2:21.5,59,59,1:06.6,3:21.34,0.9,2:21.5,1:28.13,3:52.03,1.03
Cassidy Lance,521,2:45.8,28,28,31.21,3:22.71,1.18,2:45.8,31.21,3:22.71,1.18,15:02.1,251,251,1:50.4,12:33.01,-1.35,15:02.1,2:04.57,12:58.75,-0.99,C+80,69,69,36.49,25:05.84,,30:00,2:28.76,31:44.03,0.7,2:02.8,35,35,25.83,2:18.15,0.59,2:02.8,37.92,2:55.74,1.4,176,20,20,16.06,155.2,1.3,176.0,16.06,155.2,1.3,C+1,48,48,46.45,14:52.56,,16:01,1:11.71,16:43.43,0.59,2:34.4,70,70,1:06.6,3:21.34,0.7,2:34.4,1:28.13,3:52.03,0.88
Elisabeth Akinwale,525,2:45.4,26,26,31.21,3:22.71,1.2,2:45.4,31.21,3:22.71,1.2,11:31.5,83,83,1:50.4,12:33.01,0.56,11:31.5,2:04.57,12:58.75,0.7,C+123,202,202,36.49,25:05.84,,32:55,2:28.76,31:44.03,-0.48,1:29.6,3,3,25.83,2:18.15,1.88,1:29.6,37.92,2:55.74,2.27,196,3,3,16.06,155.2,2.54,196.0,16.06,155.2,2.54,C+46,162,162,46.45,14:52.56,,16:46,1:11.71,16:43.43,-0.04,2:14.2,46,46,1:06.6,3:21.34,1.01,2:14.2,1:28.13,3:52.03,1.11
Carmen Bosmans,536,2:55.9,56,56,31.21,3:22.71,0.86,2:55.9,31.21,3:22.71,0.86,11:45.5,95,95,1:50.4,12:33.01,0.43,11:45.5,2:04.57,12:58.75,0.59,C+107,133,133,36.49,25:05.84,,31:35,2:28.76,31:44.03,0.06,2:20.7,58,58,25.83,2:18.15,-0.1,2:20.7,37.92,2:55.74,0.92,165,74,74,16.06,155.2,0.61,165.0,16.06,155.2,0.61,C+1,48,48,46.45,14:52.56,,16:01,1:11.71,16:43.43,0.59,2:35.7,72,72,1:06.6,3:21.34,0.69,2:35.7,1:28.13,3:52.03,0.87
Chelsey Grigsby,543,3:04.6,100,100,31.21,3:22.71,0.58,3:04.6,31.21,3:22.71,0.58,9:41.0,19,19,1:50.4,12:33.01,1.56,9:41,2:04.57,12:58.75,1.59,C+62,46,46,36.49,25:05.84,,29:06,2:28.76,31:44.03,1.06,2:48.1,92,92,25.83,2:18.15,-1.16,2:48.1,37.92,2:55.74,0.2,162,92,92,16.06,155.2,0.42,162.0,16.06,155.2,0.42,15:44.2,41,41,46.45,14:52.56,-1.11,15:44.2,1:11.71,16:43.43,0.83,3:42.8,153,153,1:06.6,3:21.34,-0.32,3:42.8,1:28.13,3:52.03,0.1
Jessica Core,555,3:11.4,124,124,31.21,3:22.71,0.36,3:11.4,31.21,3:22.71,0.36,11:55.3,107,107,1:50.4,12:33.01,0.34,11:55.3,2:04.57,12:58.75,0.51,C+58,41,41,36.49,25:05.84,,28:54,2:28.76,31:44.03,1.14,2:56.2,104,104,25.83,2:18.15,-1.47,2:56.2,37.92,2:55.74,-0.01,171,48,48,16.06,155.2,0.98,171.0,16.06,155.2,0.98,14:58.8,22,22,46.45,14:52.56,-0.13,14:58.8,1:11.71,16:43.43,1.46,3:10.1,109,109,1:06.6,3:21.34,0.17,3:10.1,1:28.13,3:52.03,0.48
Sammy Wood,558,3:19.7,154,154,31.21,3:22.71,0.1,3:19.7,31.21,3:22.71,0.1,9:44.0,21,21,1:50.4,12:33.01,1.53,9:44,2:04.57,12:58.75,1.56,C+89,88,88,36.49,25:05.84,,30:27,2:28.76,31:44.03,0.52,1:54.9,22,22,25.83,2:18.15,0.9,1:54.9,37.92,2:55.74,1.6,166,69,69,16.06,155.2,0.67,166.0,16.06,155.2,0.67,C+34,146,146,46.45,14:52.56,,16:34,1:11.71,16:43.43,0.13,2:20.9,58,58,1:06.6,3:21.34,0.91,2:20.9,1:28.13,3:52.03,1.03
